Frequency	VDOS
0.159154943	0.010924002
0.238732415	0.01186711
0.318309886	0.013116572
0.397887358	0.014606719
0.477464829	0.016260358
0.557042301	0.017993832
0.636619772	0.01972273
0.716197244	0.021367975
0.795774715	0.022861887
0.875352187	0.024153791
0.954929659	0.025214685
1.03450713	0.026040451
1.114084602	0.02665318
1.193662073	0.027100225
1.273239545	0.027450789
1.352817016	0.027790096
1.432394488	0.028211413
1.511971959	0.028806535
1.591549431	0.029655554
1.671126902	0.030816989
1.750704374	0.032319413
1.830281846	0.034155694
1.909859317	0.036280782
1.989436789	0.038613634
2.06901426	0.04104341
2.148591732	0.04343956
2.228169203	0.045664886
2.307746675	0.047590201
2.387324146	0.049108897
2.466901618	0.050149594
2.546479089	0.050685194
2.626056561	0.050736947
2.705634033	0.050372751
2.785211504	0.049699557
2.864788976	0.048850516
2.944366447	0.047968234
3.023943919	0.047186059
3.10352139	0.046609688
3.183098862	0.046301496
3.262676333	0.046269719
3.342253805	0.046464152
3.421831276	0.046779276
3.501408748	0.047064792
3.58098622	0.047142638
3.660563691	0.046828643
3.740141163	0.045956294
3.819718634	0.044399673
3.899296106	0.042092555
3.978873577	0.039040974
4.058451049	0.03532726
4.13802852	0.031104538
4.217605992	0.026581888
4.297183463	0.022001623
4.376760935	0.017611307
4.456338407	0.013634083
4.535915878	0.01024133
4.61549335	0.007531723
4.695070821	0.005520169
4.774648293	0.004139019
4.854225764	0.00325238
4.933803236	0.002682571
5.013380707	0.002245896
5.092958179	0.001793264
5.17253565	0.001250029
5.252113122	0.000648943
5.331690594	0.00015045
5.411268065	4.58E-05
5.490845537	0.000740164
5.570423008	0.00271633
5.65000048	0.006480619
5.729577951	0.012497433
5.809155423	0.021119277
5.888732894	0.032521204
5.968310366	0.046648592
6.047887837	0.063186122
6.127465309	0.081553697
6.207042781	0.100931957
6.286620252	0.12031648
6.366197724	0.138596104
6.445775195	0.154647646
6.525352667	0.167436964
6.604930138	0.176115286
6.68450761	0.180100036
6.764085081	0.179131143
6.843662553	0.173296642
6.923240024	0.163025042
7.002817496	0.149045829
7.082394968	0.132323099
7.161972439	0.11397024
7.241549911	0.095155368
7.321127382	0.077007703
7.400704854	0.060534268
7.480282325	0.046554356
7.559859797	0.035656485
7.639437268	0.028179504
7.71901474	0.024216543
7.798592212	0.02363808
7.878169683	0.026128748
7.957747155	0.031231838
8.037324626	0.038395732
8.116902098	0.047017512
8.196479569	0.056480583
